,page_num,binomial,country,general_loc,specific_loc
0,5.0,Scirpus mucronatus,L.,NO ITALICS,
1,5.0,Scirpus mucronatus,L.,NO ITALICS,L.
2,5.0,Scirpus mucronatus,L.,NO ITALICS,y
3,5.0,Scirpus mucronatus,L.,NO ITALICS,existaient
4,5.0,Scirpus mucronatus,L.,NO ITALICS,vers
5,5.0,Scirpus mucronatus,L.,NO ITALICS,"1890,"
6,5.0,Scirpus mucronatus,L.,NO ITALICS,apparemment
7,5.0,Scirpus mucronatus,L.,NO ITALICS,en
8,5.0,Scirpus mucronatus,L.,NO ITALICS,colonies
9,5.0,Scirpus mucronatus,L.,NO ITALICS,bien
10,5.0,Scirpus mucronatus,L.,NO ITALICS,fournies.
11,5.0,Scirpus mucronatus,L.,NO ITALICS,Avant
12,5.0,Scirpus mucronatus,L.,NO ITALICS,d'y
13,5.0,Scirpus mucronatus,L.,NO ITALICS,mettre
14,5.0,Scirpus mucronatus,L.,NO ITALICS,la
15,5.0,Scirpus mucronatus,L.,NO ITALICS,dernière
16,5.0,Scirpus mucronatus,L.,NO ITALICS,"main,"
17,5.0,Scirpus mucronatus,L.,NO ITALICS,le
18,5.0,Scirpus mucronatus,L.,NO ITALICS,Père
19,5.0,Scirpus mucronatus,L.,NO ITALICS,Vincent
20,5.0,Scirpus mucronatus,L.,NO ITALICS,avait
21,5.0,Scirpus mucronatus,L.,NO ITALICS,reçu
22,5.0,Scirpus mucronatus,L.,NO ITALICS,pour
23,5.0,Scirpus mucronatus,L.,NO ITALICS,le
24,5.0,Scirpus mucronatus,L.,NO ITALICS,compte
25,5.0,Scirpus mucronatus,L.,NO ITALICS,de
26,5.0,Scirpus mucronatus,L.,NO ITALICS,la
27,5.0,Scirpus mucronatus,L.,NO ITALICS,"Faculté,"
0,8.0,Allium azaurenum,L.,NO ITALICS,
1,8.0,Allium azaurenum,L.,NO ITALICS,L.
2,8.0,Allium azaurenum,L.,NO ITALICS,"Emberger,"
3,8.0,Allium azaurenum,L.,NO ITALICS,une
4,8.0,Allium azaurenum,L.,NO ITALICS,disposition
5,8.0,Allium azaurenum,L.,NO ITALICS,mieux
6,8.0,Allium azaurenum,L.,NO ITALICS,accordée
7,8.0,Allium azaurenum,L.,NO ITALICS,aux
8,8.0,Allium azaurenum,L.,NO ITALICS,progrès
9,8.0,Allium azaurenum,L.,NO ITALICS,récents
10,8.0,Allium azaurenum,L.,NO ITALICS,des
11,8.0,Allium azaurenum,L.,NO ITALICS,recherches
12,8.0,Allium azaurenum,L.,NO ITALICS,de
13,8.0,Allium azaurenum,L.,NO ITALICS,phylogénèse.
0,78.0,Lycopodium cernuum,L.,Mi.,Entre Nahr es Safa et 'Aïn Qa'a
1,78.0,Lycopodium cernuum,L.,Mi.,1942 et 1946
2,78.0,Lycopodium cernuum,L.,Mi.,dans une légère dépression humide. — Grès humides et suintants au-dessus d'une source
3,78.0,Lycopodium cernuum,L.,Mi.,sous Broummana
4,78.0,Lycopodium cernuum,L.,Mi.,1951 à 1954
5,78.0,Lycopodium cernuum,L.,Mi.,. — Vallon très étroit au nord de Beit Chébab
6,78.0,Lycopodium cernuum,L.,Mi.,27.III.1890. Leg. A. Torrend
7,78.0,Lycopodium cernuum,L.,Mi.,. Les deux stations de Nahr Safa et Broummana semblent s'être entièrement éteintes
0,79.0,Selaginella denticulata,L.,"ML,",Ce. Saïda
1,79.0,Selaginella denticulata,L.,"ML,",Beyrouth et environs
2,79.0,Selaginella denticulata,L.,"ML,",Nahr el Kelb
3,79.0,Selaginella denticulata,L.,"ML,",Nahr Ibra- him
4,79.0,Selaginella denticulata,L.,"ML,",Ras Chekka-Hamate
5,79.0,Selaginella denticulata,L.,"ML,",Broummana
6,79.0,Selaginella denticulata,L.,"ML,",Moukhtara
7,79.0,Selaginella denticulata,L.,"ML,",Salima
8,79.0,Selaginella denticulata,L.,"ML,",Ghazir
9,79.0,Selaginella denticulata,L.,"ML,",Tripoli
10,79.0,Selaginella denticulata,L.,'Akkar.,Base du
11,79.0,Selaginella denticulata,L.,'Akkar.,Jabal 'Aqroum
12,79.0,Selaginella denticulata,S.,NO ITALICS,"S. Non signalée. Présence presque certaine,"
13,79.0,Selaginella denticulata,S.,NO ITALICS,Ct. et
14,79.0,Selaginella denticulata,S.,NO ITALICS,Mi.
0,79.0,Isoetes hystrix,L.,'Akkar.,Prairies humides au nord de la route entre Tlail et le chemin de Menges. Bords d'un point d'eau entre Kfar Noun et Menges
1,79.0,Isoetes hystrix,S.,NO ITALICS,"S. Présence non constatée mais presque certaine, de l'autre côté de la frontière, toute proche, vers Tell Kalakh.^/ 7"
0,79.0,Isoetes olympica,S.,J-D.,Soueida-Sâlé
1,79.0,Isoetes olympica,S.,J-D.,Tell Souocar
2,79.0,Isoetes olympica,S.,J-D.,Fon ine des Bédouins
0,80.0,Equisetum maximum,L.,Ct.,Nahr-el-Aouali
1,80.0,Equisetum maximum,L.,Ct.,Hazmiyé
2,80.0,Equisetum maximum,L.,Ct.,Nahr-el-Kelb
3,80.0,Equisetum maximum,L.,Ct.,Beyrouth
4,80.0,Equisetum maximum,L.,Ct.,Tripoli
5,80.0,Equisetum maximum,L.,Mi.,Jba'a
6,80.0,Equisetum maximum,L.,Mi.,'Abey
7,80.0,Equisetum maximum,L.,Mi.,'Araya
8,80.0,Equisetum maximum,L.,Mi.,Bikfaya
9,80.0,Equisetum maximum,L.,Mm.,'Aïn Zehalta
10,80.0,Equisetum maximum,L.,Mm.,Nahr Safa
11,80.0,Equisetum maximum,L.,Mm.,Falougha
12,80.0,Equisetum maximum,L.,Mm.,Bcharré
13,80.0,Equisetum maximum,S.,Ct.,Nahr-el-Kébir
14,80.0,Equisetum maximum,S.,Ct.,E. de Lattaquié
0,80.0,Equisetum palustre,L.,Ct.,Nahr-el-Kelb
1,80.0,Equisetum palustre,L.,Ct.,au niveau des grottes
2,80.0,Equisetum palustre,L.,Mi.,Haute vallée de la même rivière sous Mayrouba
3,80.0,Equisetum palustre,L.,Mi.,Nahr Ibrahim à Janni
4,80.0,Equisetum palustre,L.,Mi.,sous Qartaba
0,80.0,Equisetum ramosissimum,L.,Ct.,Saïda
1,80.0,Equisetum ramosissimum,L.,Ct.,Beyrouth
2,80.0,Equisetum ramosissimum,L.,Ct.,Tripoli
3,80.0,Equisetum ramosissimum,L.,Mi.,'Abey
4,80.0,Equisetum ramosissimum,L.,Mi.,Broummana
5,80.0,Equisetum ramosissimum,L.,Mi.,Bikfaya
6,80.0,Equisetum ramosissimum,L.,Mi.,Qrayé
7,80.0,Equisetum ramosissimum,L.,Mm.,Jisr-el-Hajar
8,80.0,Equisetum ramosissimum,L.,Mm.,Falougha
9,80.0,Equisetum ramosissimum,L.,Mm.,Jab. Kneissé
10,80.0,Equisetum ramosissimum,L.,Met.,Chtaura
11,80.0,Equisetum ramosissimum,L.,Met.,Ta'naïl
12,80.0,Equisetum ramosissimum,S.,Dam.,Vers Hamé
0,81.0,Ophioglossum vulgatum,S.,A.L.,Près de Zebdani
0,81.0,Ophioglossum lusitanicum,L.,Ct.,Tripoli
1,81.0,Ophioglossum lusitanicum,L.,Mi.,Sous Beit Méri
2,81.0,Ophioglossum lusitanicum,L.,Mi.,en deux points
0,81.0,Osmunda regalis,L.,Ct.,Dékouané
1,81.0,Osmunda regalis,L.,Ct.,Bouchriyé
2,81.0,Osmunda regalis,L.,Mi.,'Abey
3,81.0,Osmunda regalis,L.,Mi.,sous Beit Méri
4,81.0,Osmunda regalis,L.,Mi.,Broummana
5,81.0,Osmunda regalis,L.,Mi.,Qrayé
6,81.0,Osmunda regalis,L.,Mi.,Salima
7,81.0,Osmunda regalis,L.,Mi.,Mayrouba
8,81.0,Osmunda regalis,L.,Mm.,Hammana
9,81.0,Osmunda regalis,L.,Mm.,Falougha
10,81.0,Osmunda regalis,L.,Mm.,'Aïn Qa'a
11,81.0,Osmunda regalis,L.,Mm.,'Aïn Zehalta
12,81.0,Osmunda regalis,L.,Mm.,Khan Sannine
13,81.0,Osmunda regalis,L.,Mm.,Col de Zahlé
14,81.0,Osmunda regalis,L.,Mm.,
0,82.0,Gymnogramma leptophylla,L.,Ct.,Saïda
1,82.0,Gymnogramma leptophylla,L.,Ct.,Beyrouth ce.
2,82.0,Gymnogramma leptophylla,L.,Ct.,Tripoli
3,82.0,Gymnogramma leptophylla,L.,Mi.,'Antoura
4,82.0,Gymnogramma leptophylla,L.,Mi.,Moukhtara
5,82.0,Gymnogramma leptophylla,L.,Mi.,Mayrouba
0,82.0,Cheilanthes pteridioides,L.,Ct.,Beyrouth
1,82.0,Cheilanthes pteridioides,L.,Ct.,Mkallès
2,82.0,Cheilanthes pteridioides,L.,Ct.,Khaldé
3,82.0,Cheilanthes pteridioides,L.,Mi.,'Abey
4,82.0,Cheilanthes pteridioides,L.,Mi.,Beit Méri
5,82.0,Cheilanthes pteridioides,L.,Mi.,Bhannès
6,82.0,Cheilanthes pteridioides,L.,Mi.,'Achqout
7,82.0,Cheilanthes pteridioides,L.,Mi.,'Antoura
8,82.0,Cheilanthes pteridioides,L.,Mm.,Ehden
9,82.0,Cheilanthes pteridioides,S.,Sy.,Jab. Sema'ane
10,82.0,Cheilanthes pteridioides,S.,Sy.,Tell 'Aqibrin
11,82.0,Cheilanthes pteridioides,S.,Dam.,Jab. Qasyoun
12,82.0,Cheilanthes pteridioides,S.,Dam.,Jab. Abou 'Ata
13,82.0,Cheilanthes pteridioides,S.,Dam.,St. 'Adra
14,82.0,Cheilanthes pteridioides,S.,Dam.,Qaryatein
0,83.0,Notboîaena marantae,S.,NLatt.,Aïn Haramiyé
1,83.0,Notboîaena marantae,S.,NLatt.,Kessab
2,83.0,Notboîaena marantae,S.,NLatt.,Kizil Dagh
0,83.0,Nothoiaena vellea,L.,Ct.,Nahr Beyrouth
1,83.0,Nothoiaena vellea,L.,Ct.,environs de Beyrouth
2,83.0,Nothoiaena vellea,L.,Ct.,Antélias
3,83.0,Nothoiaena vellea,L.,Mi.,Fuzur
4,83.0,Nothoiaena vellea,S.,Dam.,Douma
0,83.0,N Cystopteris filix-fragilis,L.,Mm.,Ehden
1,83.0,N Cystopteris filix-fragilis,L.,Mm.,Neba'-l-Hadid
2,83.0,N Cystopteris filix-fragilis,L.,Mm.,'Aïn Geddaié
3,83.0,N Cystopteris filix-fragilis,L.,Mm.,forêt de Qamou'a
4,83.0,N Cystopteris filix-fragilis,L.,Mm.,Farâya
5,83.0,N Cystopteris filix-fragilis,L.,Me.,Sommet du J. Kneissé
6,83.0,N Cystopteris filix-fragilis,L.,Me.,Jàb. Sannine
7,83.0,N Cystopteris filix-fragilis,L.,Me.,Foum-el-Mizhab
0,83.0,Âdiantum capillus-veneris,L.,Ct.,Beyrouth
1,83.0,Âdiantum capillus-veneris,L.,Ct.,Nahr Beyrouth
2,83.0,Âdiantum capillus-veneris,L.,Ct.,Tripoli
3,83.0,Âdiantum capillus-veneris,L.,Mi.,Bikfaya
4,83.0,Âdiantum capillus-veneris,L.,Mi.,Salima
5,83.0,Âdiantum capillus-veneris,L.,Mm.,Ehden
6,83.0,Âdiantum capillus-veneris,L.,Mm.,Bcharré
7,83.0,Âdiantum capillus-veneris,L.,Met.,Ksara
8,83.0,Âdiantum capillus-veneris,L.,Sud.,Sous Qala'at Chekif
9,83.0,Âdiantum capillus-veneris,S.,Sy.,Est d'Alep
10,83.0,Âdiantum capillus-veneris,S.,R.J.,Karatchok Dagh
11,83.0,Âdiantum capillus-veneris,S.,R.J.,vers Tell Abiad
12,83.0,Âdiantum capillus-veneris,S.,Dam.,Damas
0,84.0,Pteris longifolia,L.,Ct.,Saïda
1,84.0,Pteris longifolia,L.,Ct.,Beyrouth
2,84.0,Pteris longifolia,L.,Ct.,Amelias
3,84.0,Pteris longifolia,L.,Ct.,Nahr-el-Kelb
4,84.0,Pteris longifolia,L.,Ct.,Tripoli
5,84.0,Pteris longifolia,L.,Mi.,'Abey
6,84.0,Pteris longifolia,L.,Mi.,Ghazir
0,84.0,Pteridium aquilmum,L.,Ct.,Dékouané
1,84.0,Pteridium aquilmum,L.,Mi.,'Abey
2,84.0,Pteridium aquilmum,L.,Mi.,Bikfaya
3,84.0,Pteridium aquilmum,L.,Mi.,Mrouj
4,84.0,Pteridium aquilmum,L.,Mi.,Mayrouba
5,84.0,Pteridium aquilmum,L.,Mi.,Maghdouché
6,84.0,Pteridium aquilmum,L.,Mi.,Salima
7,84.0,Pteridium aquilmum,L.,Mi.,'Araya
8,84.0,Pteridium aquilmum,L.,Mm.,'Aïn Saoua'ir
9,84.0,Pteridium aquilmum,L.,Mm.,Jabal Qamou'a
10,84.0,Pteridium aquilmum,L.,'Akkar.,Qpubbayat
11,84.0,Pteridium aquilmum,S.,Mm.,Slenfé
12,84.0,Pteridium aquilmum,S.,Matt.,Bassit
0,85.0,Athyrium filix-femina,L.,Mm.,Grès entre le Jabal Sannine et le Jabal Kneissé
1,85.0,Athyrium filix-femina,L.,Mm.,assez abondant
0,85.0,Dryopterîs aculeata,L.,Mm.,Grès entre le Sannine et le Kneissé
1,85.0,Dryopterîs aculeata,L.,Mm.,rare
2,85.0,Dryopterîs aculeata,L.,Mm.,.
0,85.0,Dryopteris libanotica,L.,Ct.,Nahr Aouali
1,85.0,Dryopteris libanotica,L.,Ct.,Beyrouth
2,85.0,Dryopteris libanotica,L.,Ct.,Nahr Beyrouth
3,85.0,Dryopteris libanotica,L.,Ct.,Ras Chekka
4,85.0,Dryopteris libanotica,L.,Ct.,Ras Chekka- Hamate
5,85.0,Dryopteris libanotica,L.,Mi.,'Abèy
6,85.0,Dryopteris libanotica,L.,Mi.,'Aley
7,85.0,Dryopteris libanotica,L.,Mi.,'Araya
8,85.0,Dryopteris libanotica,L.,Mi.,Bikfaya
9,85.0,Dryopteris libanotica,L.,Mi.,Broummana
10,85.0,Dryopteris libanotica,L.,Mi.,Ghazir
11,85.0,Dryopteris libanotica,L.,Mi.,Mohrab
12,85.0,Dryopteris libanotica,L.,Mi.,Faytroun
13,85.0,Dryopteris libanotica,L.,Mi.,Rayfoun
14,85.0,Dryopteris libanotica,L.,Mi.,Douma
15,85.0,Dryopteris libanotica,L.,Mi.,Qrayé
16,85.0,Dryopteris libanotica,L.,Mm.,Dahr-el-Baïdar
17,85.0,Dryopteris libanotica,L.,Mm.,Fa- lougha
18,85.0,Dryopteris libanotica,L.,Mm.,Entre Sannine et Kneissé
19,85.0,Dryopteris libanotica,L.,Mm.,Diman
20,85.0,Dryopteris libanotica,L.,Mm.,Qannoubine
21,85.0,Dryopteris libanotica,L.,Mm.,Bân
22,85.0,Dryopteris libanotica,L.,Mm.,'Aïtou
23,85.0,Dryopteris libanotica,L.,Mm.,Beskinta
24,85.0,Dryopteris libanotica,S.,Mi.-Mm.,Qala'at-el-Hosn
25,85.0,Dryopteris libanotica,S.,Mi.-Mm.,Slenfé
26,85.0,Dryopteris libanotica,S.,Mi.-Mm.,Jaoubat Bourghal
27,85.0,Dryopteris libanotica,S.,JVLatt.,Froulok
28,85.0,Dryopteris libanotica,S.,JVLatt.,Guébara
0,86.0,Blechnum spicant,L.,Mi.,Broummana
1,86.0,Blechnum spicant,L.,Mi.,Salima
2,86.0,Blechnum spicant,L.,Mi.,Bikfaya
3,86.0,Blechnum spicant,L.,Mi.,Ghoueir
4,86.0,Blechnum spicant,L.,Mi.,Mayrouba
5,86.0,Blechnum spicant,L.,Mi.,Qrayé
6,86.0,Blechnum spicant,L.,Mm.,Vers le col de Zahlé
7,86.0,Blechnum spicant,L.,Mm.,Bân
0,87.0,Ceterack officinarum,L.,Ct.,Saïda
1,87.0,Ceterack officinarum,L.,Ct.,Beyrouth
2,87.0,Ceterack officinarum,L.,Ct.,Tripoli
3,87.0,Ceterack officinarum,L.,Mi.,'Abey
4,87.0,Ceterack officinarum,L.,Mi.,Chemlan
5,87.0,Ceterack officinarum,L.,Mi.,Bikfaya
6,87.0,Ceterack officinarum,L.,Mi.,'Antoura
7,87.0,Ceterack officinarum,L.,Mi.,Dlepta
8,87.0,Ceterack officinarum,L.,Mm.,Kfarsghab
9,87.0,Ceterack officinarum,L.,Mm.,'Akkar-el-'Atiq
10,87.0,Ceterack officinarum,S.,Mm.,Slenfé
11,87.0,Ceterack officinarum,S.,Sy.,Harim
12,87.0,Ceterack officinarum,S.,Sy.,Jab. Sema'ane
13,87.0,Ceterack officinarum,S.,A.L.,Jab. Abou 'Ata
14,87.0,Ceterack officinarum,S.,Dam.,Jab. Qasyoun
15,87.0,Ceterack officinarum,S.,\?.D.,Soueida
0,88.0,Asplenium bourgaei,L.,Met.,Jisr-el-Kuwwe
1,88.0,Asplenium bourgaei,L.,Met.,
0,88.0,Asplenium trichomanes,L.,NO ITALICS,"L. Pas rare au nord, très rare ou manquant plus au sud."
1,88.0,Asplenium trichomanes,L.,NO ITALICS,"Ct. Tripoli (Bl, P)."
2,88.0,Asplenium trichomanes,L.,NO ITALICS,"Mm. Jisr-el- Hajar (Pont Naturel) (Np), Jab. Jaj (Mt), Ehden, Kfarsghab (Bl), Fnaideq, 'Akkar el 'Atiq (Mt)."
3,88.0,Asplenium trichomanes,S.,Mi-Mm.,Slenfé
4,88.0,Asplenium trichomanes,S.,Mi-Mm.,signal de Rouadi
5,88.0,Asplenium trichomanes,S.,J.D.,Citernes du Tell Qpuleib
0,88.0,Asplenium ruta-muraria,L.,Mm.,Dimane
1,88.0,Asplenium ruta-muraria,L.,Mm.,Cèdres
2,88.0,Asplenium ruta-muraria,L.,Mm.,Forêt de Qamou'a
3,88.0,Asplenium ruta-muraria,L.,Mm.,Jisr-el-Hajar
4,88.0,Asplenium ruta-muraria,L.,Me.,Som- met du Jab. Kneissé
5,88.0,Asplenium ruta-muraria,L.,Me.,Jab. Sannine
6,88.0,Asplenium ruta-muraria,L.,Me.,Yammouné à Dimane
7,88.0,Asplenium ruta-muraria,L.,Me.,'Aïn-el-Qarn au-dessus d'Ehden
8,88.0,Asplenium ruta-muraria,L.,Me.,sommets du Makmel
9,88.0,Asplenium ruta-muraria,S.,A.L.,Birket Foukhté
0,88.0,Asplenium haussknechtii,L.,Me.,Jab. Kneissé
1,88.0,Asplenium haussknechtii,L.,Me.,Jab. Sannine
0,88.0,Asplenium adiantum-nigrum,L.,Ct.,Environs de Beyrouth
1,88.0,Asplenium adiantum-nigrum,L.,Ct.,Antélias
2,88.0,Asplenium adiantum-nigrum,L.,Ct.,Nahr-el-Kelb
3,88.0,Asplenium adiantum-nigrum,L.,Ct.,Ras Chekka
4,88.0,Asplenium adiantum-nigrum,L.,Mi.,'Abey
5,88.0,Asplenium adiantum-nigrum,L.,Mi.,Ghazir
6,88.0,Asplenium adiantum-nigrum,L.,Mi.,Broummana
7,88.0,Asplenium adiantum-nigrum,L.,Mi.,Qrayé «Le Krey»
8,88.0,Asplenium adiantum-nigrum,L.,Mi.,Dlepta à Mohrab
9,88.0,Asplenium adiantum-nigrum,L.,Mi.,Baabda
10,88.0,Asplenium adiantum-nigrum,L.,Mi.,'Araya
11,88.0,Asplenium adiantum-nigrum,L.,Mi.,Rayfoun
12,88.0,Asplenium adiantum-nigrum,S.,NLatt.,Kessab
13,88.0,Asplenium adiantum-nigrum,S.,NLatt.,Karadourane
14,88.0,Asplenium adiantum-nigrum,S.,NLatt.,Kizil Dagh
0,89.0,Phyllitis scolopendrium,L.,Ct.,Vallée du Bahsa˛ près Tripoli
1,89.0,Phyllitis scolopendrium,L.,Mi.,'Abey
2,89.0,Phyllitis scolopendrium,L.,Mi.,Sir
3,89.0,Phyllitis scolopendrium,L.,Mm.,Basloukite
4,89.0,Phyllitis scolopendrium,L.,Mm.,Has- roun
5,89.0,Phyllitis scolopendrium,L.,Mm.,Qannoubine
6,89.0,Phyllitis scolopendrium,L.,Mm.,Forêt de Qamou'a
7,89.0,Phyllitis scolopendrium,L.,Me.,Sommet du Jab. Kneissé
8,89.0,Phyllitis scolopendrium,L.,Ve.,Niha
9,89.0,Phyllitis scolopendrium,S.,A.L.,Yabroud
0,89.0,Phyllitis hemionitis,L.,Ct.,Choueifat
1,89.0,Phyllitis hemionitis,L.,Mi.,Sir
2,89.0,Phyllitis hemionitis,L.,Mi.,'Aïn-el-Qarn
3,89.0,Phyllitis hemionitis,L.,Mi.,.
4,89.0,Phyllitis hemionitis,L.,Mm.,Jabal Kneissé
5,89.0,Phyllitis hemionitis,L.,Mm.,sur les pentes
6,89.0,Phyllitis hemionitis,L.,Mm.,Neba'a-1-Laban
7,89.0,Phyllitis hemionitis,L.,Mm.,Cèdres
8,89.0,Phyllitis hemionitis,L.,Mm.,Bchennata
9,89.0,Phyllitis hemionitis,L.,Me.,Foumm-el-Mizhab
10,89.0,Phyllitis hemionitis,L.,Ve.,Vallée du Bardaouni
11,89.0,Phyllitis hemionitis,L.,Met.,Gorges du Litani
12,89.0,Phyllitis hemionitis,L.,Met.,vers Yohmor
13,89.0,Phyllitis hemionitis,S.,J.D.,Citerne au sommet du Tell Qpuleib
14,89.0,Phyllitis hemionitis,S.,J.D.,en colonie homogène
0,90.0,Polypodium vulgare,L.,Ct.,Damour
1,90.0,Polypodium vulgare,L.,Ct.,'Aïn Cheikh
2,90.0,Polypodium vulgare,L.,Ct.,Nahr-el-Kelb
3,90.0,Polypodium vulgare,L.,Ct.,Nahr Beyrouth
4,90.0,Polypodium vulgare,L.,Mi.,Beit Méri
5,90.0,Polypodium vulgare,L.,Mi.,Bikfaya
6,90.0,Polypodium vulgare,L.,Mi.,Ghosta
7,90.0,Polypodium vulgare,L.,Mi.,Ghazir
8,90.0,Polypodium vulgare,L.,Mi.,Broummana
9,90.0,Polypodium vulgare,L.,Mi.,Aramoun
10,90.0,Polypodium vulgare,S.,NLatt.,Bassit
11,90.0,Polypodium vulgare,S.,NLatt.,Kizil Dagh
0,90.0,Salvinia natans,S.,Sy.,Eaux du Nahr-es-Sih
1,90.0,Salvinia natans,S.,Sy.,entre Tell Nebi Mend et Joubbaniyé au sud du Lac de Homs 1 er août 1931
0,92.0,Cedrus libani,L.,Mm.,Sommet du Jabal Niha
1,92.0,Cedrus libani,L.,Mm.,au-dessus de Ma'asser-ech-Chouf
2,92.0,Cedrus libani,L.,Mm.,de Barouk
3,92.0,Cedrus libani,L.,Mm.,de 'Aïn Zehalta. Pentes ouest du Jabal-el-Jaj
4,92.0,Cedrus libani,L.,Mm.,entre Tannourine et Hadeth
5,92.0,Cedrus libani,L.,Mm.,au-dessus de Bcharré
6,92.0,Cedrus libani,L.,Mm.,forêt d'Ehden
7,92.0,Cedrus libani,S.,Mm.,Slenfé
8,92.0,Cedrus libani,S.,Mm.,vers le sommet
0,93.0,Pinus pinea,L.,Mi.,Maghdouché
1,93.0,Pinus pinea,L.,Mi.,au-dessus de Saïda
2,93.0,Pinus pinea,L.,Mi.,'Abey
3,93.0,Pinus pinea,L.,Mi.,Beit Méri
4,93.0,Pinus pinea,L.,Mi.,Broummana
5,93.0,Pinus pinea,L.,Mi.,Bikfaya
6,93.0,Pinus pinea,L.,Mi.,Dhour Choueir
7,93.0,Pinus pinea,L.,Mi.,« Bois de Boulogne »
8,93.0,Pinus pinea,S.,Ct.,Planté çà et là
0,93.0,Pina brutia,L.,NO ITALICS,"L. Peuplements étendus au sud vers Bkassine et dans le 'Akkar. Groupements moindres et très nombreux, entre la mer et 1700 m., en de nombreux points, notamment vers Saïda, Choueifat. 'Aïn 'Anoub, Souq-el-Gharb, 'Aley, Beit Méri, Broummana, Baabdate, Bikfaya, Bkerké, Tripoli à Ehden, Forêt d'Ehden, forêt de Qaniou'a."
1,93.0,Pina brutia,S.,NO ITALICS,"S. Peuplements très importants dans le 'Akkar syrien, en divers points de la montagne alaouite, et surtout le Bassit et le Baer au nord de Lattaqùié."
0,93.0,Pinus halepensis,L.,Mi.,Sous Maghdouché au-dessus de Saïda. Entre 'Aïn Traz et Rochmaya. Au-dessus de Choueifat
1,93.0,Pinus halepensis,L.,brutia.,Bois de Yarzé entre Baabda et Jamhour. — Plus au nord
2,93.0,Pinus halepensis,L.,brutia.,un petit peuplement
3,93.0,Pinus halepensis,L.,brutia.,au-dessus dejbail
4,93.0,Pinus halepensis,S.,Mi.,Petit peuplement près de Qadmous
0,94.0,Cupressus sempervirens,L.,Mi.,Maghdouché
1,94.0,Cupressus sempervirens,L.,Mi.,Bchetfine
2,94.0,Cupressus sempervirens,L.,Mi.,Deir-el-Qamar
3,94.0,Cupressus sempervirens,L.,Mi.,'Abey
4,94.0,Cupressus sempervirens,L.,Mi.,. Au-dessus de M'ameltein et Ghazir
5,94.0,Cupressus sempervirens,L.,Mi.,et aussi dejbail
6,94.0,Cupressus sempervirens,L.,Mm.,Bcharré
7,94.0,Cupressus sempervirens,L.,Mm.,Ehden au-dessus du monastère de Mar Sarkis
8,94.0,Cupressus sempervirens,S.,Mi.,Massiaf
9,94.0,Cupressus sempervirens,S.,Mi.,NW de Massiaf
10,94.0,Cupressus sempervirens,S.,NLatt.,W. Kessab
0,95.0,Juniperus oxycedrus,L.,Mi.,Exceptionnel au-dessous de 500 m. El Boum
1,95.0,Juniperus oxycedrus,L.,Mi.,Yarzé
2,95.0,Juniperus oxycedrus,L.,Mi.,un seul pied
3,95.0,Juniperus oxycedrus,L.,Mi.,en 1932
4,95.0,Juniperus oxycedrus,L.,Mi.,dis- paru depuis
5,95.0,Juniperus oxycedrus,L.,Mi.,au-dessous de Ghazir
6,95.0,Juniperus oxycedrus,L.,Mi.,. Assez commun plus haut
7,95.0,Juniperus oxycedrus,L.,Mi.,notamment sur grès: Jisr- eUQadi
8,95.0,Juniperus oxycedrus,L.,Mi.,'Abey
9,95.0,Juniperus oxycedrus,L.,Mi.,Bikfayya
10,95.0,Juniperus oxycedrus,L.,Mi.,'Antoura
11,95.0,Juniperus oxycedrus,L.,Mi.,Mayrouba
12,95.0,Juniperus oxycedrus,L.,Mi.,Douma
13,95.0,Juniperus oxycedrus,L.,Mi.,Qprnayel
14,95.0,Juniperus oxycedrus,L.,Mi.,Sir
15,95.0,Juniperus oxycedrus,L.,Mm.,'Aïa Zehalta
16,95.0,Juniperus oxycedrus,L.,Mm.,Jabal Kneissé
17,95.0,Juniperus oxycedrus,L.,Mm.,Afqa
18,95.0,Juniperus oxycedrus,L.,Mm.,Jabal Qamou'a
19,95.0,Juniperus oxycedrus,L.,Herm.,Hermoa
20,95.0,Juniperus oxycedrus,L.,Ve.,Au-dessus de Jdita
21,95.0,Juniperus oxycedrus,S.,Mi.,Qadmous
22,95.0,Juniperus oxycedrus,S.,Mm.,Nebi Younès
23,95.0,Juniperus oxycedrus,S.,KD.,Kutchuk Darmik
24,95.0,Juniperus oxycedrus,S.,M.Latt.,Kessab
25,95.0,Juniperus oxycedrus,S.,M.Latt.,Cassius
0,96.0,Juniper us excelsa,L.,Mm.,Vers Afqa
1,96.0,Juniper us excelsa,L.,Mm.,station très connue
2,96.0,Juniper us excelsa,L.,Mm.,forêts d'Ehden et de Qamou'a
3,96.0,Juniper us excelsa,L.,Mm.,pentes au nord de Marj Hin et Jbab-el-Homr
4,96.0,Juniper us excelsa,L.,Mm.,en boisement étendu
5,96.0,Juniper us excelsa,L.,Mm.,. Au-dessus de Sir
6,96.0,Juniper us excelsa,L.,Me.,Pentes au-dessus des Cèdres
7,96.0,Juniper us excelsa,L.,Me.,vers Foumm-el-Mizhab
8,96.0,Juniper us excelsa,L.,Me.,jusqu'à 2800 m.
9,96.0,Juniper us excelsa,L.,Me.,Haut 'Akkar libanais
10,96.0,Juniper us excelsa,L.,Ve.,Pentes est du Liban au-dessus des Sources de l'Oronte
11,96.0,Juniper us excelsa,L.,Ve.,de Yammouné
12,96.0,Juniper us excelsa,L.,Ve.,de 'Aïnata et de Hernael
