,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
376,Anthémis,cornucopiae,,,Boiss. U6 H6 • T )OA Î C.AA * * CLA A
389,Anthémis,corymbulosa,,,Boiss.
391,Anthémis,cota,,,L.
393,Anthémis,cotula,,,L.
395,Anthémis,eretica,,,L.
398,Anthémis,eretica,subsp.,cassia,(Boiss.) Grierson
402,Anthémis,eretica,var.,discoidea,Post
404,Anthémis,deltawensis,,,Eig
406,Anthémis,deserti-syriaci,,,Eig
408,Anthémis,didymaea,,,Mouterde
410,Anthémis,discoidea,,,(All.) Willd.
413,Anthémis,emasensis,,,Eig
415,Anthémis,halophila,,,Boiss. et Bal.
419,Anthémis,haussknechtii,,,Boiss. et Reut.
423,Anthémis,hebronica,,,Boiss. et Ky.
427,Anthémis,hermonis,,,Eig
429,Anthémis,hyalina,,,DC.
431,Anthémis,leucanthemifolia,,,Boiss. et Bl.
435,Anthémis,leucolepis,,,Eig
437,Anthémis,libanotica,,,DC.
439,Anthémis,lyonnetioides,,,Boiss.
441,Anthémis,melanolepis,,,Boiss.
443,Anthémis,melanolepis,,,sensu Eig non Boiss.
448,Anthémis,membranacea,,,Labili.
450,Anthémis,mixta,,,L.
452,Anthémis,palestina,,,Reut. in Boiss.
456,Anthémis,palestina,,,Reuter p.p. in Boiss.
461,Anthémis,patentissima,,,Eig
463,Anthémis,pauciloba,,,Boiss.
465,Anthémis,philistea,,,Boiss.
467,Anthémis,pseudocotula,,,Boiss.
469,Anthémis,rascheyana,,,Boiss.
471,Anthémis,rotata,,,Boiss.
473,Anthémis,samuelssonii,,,Rech. fii.
476,Anthémis,scariosa,,,Banks et Sol.
480,Anthémis,secundiramea,,,Biv.
483,Anthémis,secundiramea,var.,urvilleana,DC.
485,Anthémis,syriaca,,,Bornm.
487,Anthémis,tinctoria,,,L.
490,Anthémis,tinctoria,var.,discoidea,(AH.) Vahl
493,Anthémis,tomentosa,,,Gouan
495,Anthémis,tricomis,,,Eig
497,Anthémis,tripolitana,,,Boiss. et Bl.
501,Anthémis,tubicina,,,Boiss.
503,Anthémis,wettsteiniana,,,Hand.-Mazz.
505,Antirrhinum,,,,L.
507,Antirrhinum,aegyptiacum,,,L.
509,Antirrhinum,albifrons,,,Sibth. et Sm.
513,Antirrhinum,arvense,,,L.
515,Antirrhinum,ascalonica,,,Boiss. et Ky
519,Antirrhinum,chalepense,,,L.
521,Antirrhinum,cymbalaria,,,L.
523,Antirrhinum,clatine,,,L.
525,Antirrhinum,genistifolium,,,L.
527,Antirrhinum,majus,,,L.
530,Antirrhinum,majus,var.,angustifolium,Chav.
532,Antirrhinum,micranthum,,,Cav.
534,Antirrhinum,minus,,,L.
536,Antirrhinum,orontium,,,L. NOUVELLE
539,Antirrhinum,parvtflorum,,,Jacq.
541,Antirrhinum,pelisserianum,,,L.
543,Antirrhinum,spurium,,,L.
545,Antirrhinum,tortuosum,,,Bosc ex Chav.
549,Anvillea,,,,DC.
551,Anvillea,garcini,,,(Burm.) DC.
554,Apargia,,,,Scop.
556,Apargia,tuberosa,,,Willd.
558,Apocynum,,,,L.
560,Apocynum,venetum,,,L.
562,Arbutus,,,,L.
564,Arbutus,andrachne,,,L.
566,Arbutus,unedo,,,L.
568,Arctium,,,,L. 
570,Arctium,minus,,,(Hill.) Bernh. 
574,Arctium,minus,subsp.,minus ,
576,Arctium,minus,subsp.,pubens,(Babington) Arènes 
579,Armeria,,subsp.,pubens,Willd. 
581,Armeria,majellensis,,,
583,Armeria,majellensis,var.,leucantha,Boiss.  
586,Armeria,undulata,,,(Bory et Chaub.) Boiss.  
592,Arnebia,,,,Forssk. 
594,Arnebia,comuta,,,(Ledeb.) Fisch. et Mey 
599,Arnebia,decumbens,,,(Vent.) Coss. et Kralik 
604,Arnebia,linearifolia,,,DC.  
607,Arnebia,tubata,,,(Bertol.) Sam. 
610,Artemisia,,,,L. 
612,Artemisia,annua,,,L.  
615,Artemisia,arborescens,,,L. 
617,Artemisia,deliliana,,,Besser 
619,Artemisia,herba-alba,,,Asso 
621,Artemisia,monosperma,,,Del. 
623,Artemisia,scoparia,,,Waldst. et Kit. 
627,Artemisia,verlotorum,,,Lamotte 
629,Arthrolepis,,,,Boiss.
631,Arthrolepis,membranacea,,,(Labili.) Boiss. 
634,Asclepias,,,,L.
636,Asclepias,canescens,,,Willd. 
638,Asclepias,fruticosa,,,L. 
640,Asclepias,procera,,,Willd. 
642,Asperugo,,,,L. 
644,Asperugo,procumbens,,,L. 
646,Asperula,,,,L. 
648,Asperula,aparine,,,M.Bieb. 
650,Asperula,arvensis,,,L. 
653,Asperula,arvensis,subsp.,setosa,(Jaub. et Spach.) Bornm.
659,Asperula,arvensis,var.,orientalis,Bornm. 
661,Asperula,azurea,,,Jaub. et Spach. 
665,Asperula,bargyli,,,Gombault 
667,Asperula,breviflora,,,Boiss. 
669,Asperula,calabrica,,,L.f. 
671,Asperula,dissitiflora,,,Post 
673,Asperula,ghautensis,,,Post 
675,Asperula,glareosa,,,Ehrendorfer
677,Asperula,glomerata,,,(Bieb.) Griseb.
681,Asperula,glomerata,var.,capitata,(Labili.) Boiss.
684,Asperula,humifusa,,,M. Bieb.
687,Asperula,libanotica,,,Boiss.
689,Asperula,orientalis,,,Boiss. et Hoh.
693,Asperula,pseudolibanotica,,,Ehrendorfer
695,Asperula,rivalis,,,Sibth. et Sm.
699,Asperula,setosa,,,Jaub. et Spach.
703,Asperula,stricta,,,Boiss.
706,Asperula,stricta,var.,alpina,Boiss.
708,Aster,,var.,alpina,L.
710,Aster,crispus,,,Forssk.
712,Asteriscus,,,,Miller
714,Asteriscus,aquaticus,,,(L.) Less.
718,Asteriscus,aquaticus,var.,pygmaeus,DC.
720,Asteriscus,graveolens,,,(Forssk.) Less.
723,Asteriscus,lanuginosus,,,DC.
725,Asteriscus,pygmaeus,,,(DC.) Coss. et Dur.
730,Asterolinon,,,,Hoffmans. et Link
734,Asterolinon,linum-stellatum,,,(L.) Duby
737,Asyneuma,,,,Griseb. et Schrenk
741,Asyneuma,lanceolatum,,,(Willd.) Hand.-Mazz. alpinum Bornm.
746,Asyneuma,rigidum,,,(Willd.) Grossh.
750,Asyneuma,rigidum,subsp.,sinaï,(A. DC.) Damboldt
754,Asyneuma,virgatum,,,(Labili.) Bornm.
757,Atractylis,,,,L.
759,Atractylis,cancellata,,,L.
761,Atractylis,carduus,,,(Forssk.) Christ
764,Atractylis,comosa,,,Sieb. ex Cass.
768,Atractylis,flava,,,Desf.
770,Atractylis,speciosa,,,DC.
772,Atropa,,,,L.
774,Atropa,belladonna,,,L.
776,Atropa,mandragora,,,L.
778,Autrania,,,,Winkler et Barbey
782,Autrania,pulchella,,,Winkler et Barbey B
787,Baceharis,,,,L.
789,Baceharis,dioscoridis,,,L. 
791,BallotaL. ,,,,
792,BallotaL. ,antilibanotica,,,Post 
794,BallotaL. ,aucheri,,,  Boiss.  ? 
798,BallotaL. ,damascena,,,Boiss. 
800,BallotaL. ,foetida,,,Lam. 
802,BallotaL. ,nigra,,,L. 
805,BallotaL. ,nigra,subsp.,uncinata,(Beg.) Patzak 
809,BallotaL. ,nigra,var.,meridionalis,
811,BallotaL. ,nigra,f.,uncinata,Beg. 
813,BallotaL. ,saxatilis,,,Sieb. ex J. et C. Presl  
821,BallotaL. ,semaanica,,,Rech.  fil. 
824,BallotaL. ,undulata,,,(Fresen.) Benth.   NOUVELLE
829,Barkhausia,,,,Moench
831,Barkhausia,aculeata,,,DC
833,Barkhausia,foetida,,,(L.) DC.
836,Barkhausia,kotschyana,,,Boiss.
838,Bartsia,,,,L.
840,Bartsia,latifolia,,,(L.) Sibth. et Sm.
845,Bartsia,trixago,,,L.
847,Bartsia,viscosa,,,L.
849,Bellardia,,,,Ail.
851,Bellardia,trixago,,,(L.) AH.
854,Bellis,,,,L.
856,Bellis,annua,,,L.
858,Bellis,perennis,,,L.
860,Bellis,sylvestris,,,Cyrillo
862,Bidens,,,,L.
864,Bidens,frondosa,,,L.
866,Bidens,pilosa,,,L.
869,Bidens,pilosa,var.,radiata,Schultz Bip.
872,Bidens,tripartita,,,L.
874,Blackstonia,,,,Huds.
876,Blackstonia,acuminata,,,(Koch et Ziz) Domin
881,Blackstonia,perfoliata,,,(L.) Huds.
884,Blackstonia,serotina,,,(Reichenb.) Beck
887,Bombycilaena,,,,(DC.) Smolj.
890,Bombycilaena,discolor,,,(Pers.) Lainz
893,Bombycilaena,erecta,,,(L.) Smolj.
896,Borago,,,,L.
898,Borago,macranthera,,,Banks et Sol.
902,Borago,officinalis,,,L.
904,Brunnera,,,,Stev.
906,Brunnera,orientalis,,,(Schenk) Johnst.
909,Bryonia,,,,L.
911,Bryonia,lasiocarpa,,,Mout.
913,Bryonia,multiflora,,,Boiss. et Heldr.
917,Bryonia,syriaca,,,Boiss.
919,Buglossoides,,,,Moench
921,Buglossoides,arvensis,,,(L.) Johnst.
924,Buglossoides,incrassata,,,(Guss.) Johnst.
927,Buglossoides,purpureocaerulea,,,(L.) Johnst.
930,Buglossoides,tenuiflora,,,(L. fil.) Johnst.
934,Buglossum,,,,Miller
936,Buglossum,barrelieri,,,AII.
938,Bungea,,,,CA. Meyer
941,Bungea,trifida,,,(Vahl) CA. Meyer
945,Buphthalmum,,,,L.
947,Buphthalmum,aquaticum,,,L.
949,Buphthalmum,graveolens,,,Forrsk.
951,Buphthalmum,spinosum,,,L. C
954,Caccinia,,,,Savi
956,Caccinia,macranthera,,,(Banks et Sol.) Brand
961,Caccinia,russellii,,,Boiss.
963,Calamintha,,,,Moench
965,Calamintha,betulifolia,,,Boiss. et Bal.
969,Calamintha,clinopodium,,,Bentham
971,Calamintha,graveolens,,,(Bieb.) Benth.
974,Calamintha,incana,,,(Sibth. et Smith) Boiss.
979,Calamintha,menthifolia,,,Host
981,Calamintha,nepeta,,,(L.) Savi
984,Calamintha,officinalis,,,Moench
986,Calamintha,origanifolia,,,(Labili.) Boiss.
989,Calamintha,purpurascens,,,Pers.
991,Calamintha,rotundifolia,,,(Pers.) Benth.
994,Calamintha,rotundifolia,,,Host
996,Calamintha,vulgaris,,,(L.) Halàcsy
999,Calendula,,,,L.
1001,Calendula,aegyptiaca,,,Pers.
1003,Calendula,arvensis,,,L.
1005,Calendula,bicolor,,,Rafin.
1007,Calendula,micrantha,,,Boiss.
1009,Calendula,no'iana,,,Boiss.
