,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
720,Asteriscus,graveolens,,,(Forssk.) Less.
725,Asteriscus,pygmaeus,,,(DC.) Coss. et Dur.
730,Asterolinon,,,,Hoffmans. et Link
734,Asterolinon,linum-stellatum,,,(L.) Duby
737,Asyneuma,,,,Griseb. et Schrenk
746,Asyneuma,rigidum,,,(Willd.) Grossh.
750,Asyneuma,rigidum,subsp.,sinaï,(A. DC.) Damboldt
754,Asyneuma,virgatum,,,(Labili.) Bornm.
757,Atractylis,,,,L.
759,Atractylis,cancellata,,,L.
761,Atractylis,carduus,,,(Forssk.) Christ
764,Atractylis,comosa,,,Sieb. ex Cass.
772,Atropa,,,,L.
774,Atropa,belladonna,,,L.
791,BallotaL. ,,,,
792,BallotaL. ,antilibanotica,,,Post 
798,BallotaL. ,damascena,,,Boiss. 
802,BallotaL. ,nigra,,,L. 
805,BallotaL. ,nigra,subsp.,uncinata,(Beg.) Patzak 
813,BallotaL. ,saxatilis,,,Sieb. ex J. et C. Presl  
821,BallotaL. ,semaanica,,,Rech.  fil. 
824,BallotaL. ,undulata,,,(Fresen.) Benth.   NOUVELLE
849,Bellardia,,,,Ail.
851,Bellardia,trixago,,,(L.) AH.
854,Bellis,,,,L.
856,Bellis,annua,,,L.
858,Bellis,perennis,,,L.
860,Bellis,sylvestris,,,Cyrillo
862,Bidens,,,,L.
864,Bidens,frondosa,,,L.
866,Bidens,pilosa,,,L.
869,Bidens,pilosa,var.,radiata,Schultz Bip.
872,Bidens,tripartita,,,L.
874,Blackstonia,,,,Huds.
876,Blackstonia,acuminata,,,(Koch et Ziz) Domin
881,Blackstonia,perfoliata,,,(L.) Huds.
887,Bombycilaena,,,,(DC.) Smolj.
890,Bombycilaena,discolor,,,(Pers.) Lainz
893,Bombycilaena,erecta,,,(L.) Smolj.
896,Borago,,,,L.
902,Borago,officinalis,,,L.
904,Brunnera,,,,Stev.
906,Brunnera,orientalis,,,(Schenk) Johnst.
909,Bryonia,,,,L.
911,Bryonia,lasiocarpa,,,Mout.
913,Bryonia,multiflora,,,Boiss. et Heldr.
917,Bryonia,syriaca,,,Boiss.
938,Bungea,,,,CA. Meyer
941,Bungea,trifida,,,(Vahl) CA. Meyer
954,Caccinia,,,,Savi
956,Caccinia,macranthera,,,(Banks et Sol.) Brand
963,Calamintha,,,,Moench
965,Calamintha,betulifolia,,,Boiss. et Bal.
974,Calamintha,incana,,,(Sibth. et Smith) Boiss.
981,Calamintha,nepeta,,,(L.) Savi
986,Calamintha,origanifolia,,,(Labili.) Boiss.
991,Calamintha,rotundifolia,,,(Pers.) Benth.
996,Calamintha,vulgaris,,,(L.) Halàcsy
999,Calendula,,,,L.
1001,Calendula,aegyptiaca,,,Pers.
1003,Calendula,arvensis,,,L.
1005,Calendula,bicolor,,,Rafin.
1017,Calendula,officinalis,,,L. 
1019,Calendula,palaestina,,,Boiss. 
1024,Calendula,sinuata,,,Boiss. et Gaill. 
1028,Calendula,tripterocarpa,,,Rupr. 
1030,Calhpeltis,,,,Stev.
1034,Calhpeltis,cucullaris,,,(L.) Rothm.
1038,Calhpeltis,cucullaris,fa,aperta,Boiss.
1040,Calhpeltis,factorovskyi,,,(Eig) Ehrendorfer
1050,Calystegia,,,,R. Br.
1053,Calystegia,sepium,,,(L.) R. Br.
1057,Calystegia,silvatica,,,(Kit.) Griseb.
1065,Campanula,,,,L.
1071,Campanula,camptoclada,,,Boiss.
1073,Campanula,cecilii,,,Rech. fil. et Schiman-Czeika
1078,Campanula,cymbalaria,,,Sm. in Sibth. et Sm.
1084,Campanula,damascena,,,Labili.
1086,Campanula,erinus,,,L.
1088,Campanula,euclasta,,,Boiss.
1090,Campanula,fastigiata,,,Léon Dufour in A. DC.
1096,Campanula,flaccidula,,,Vatke
1098,Campanula,hierosolymitana,,,Boiss.
1102,Campanula,kotschyana,,,"A., DC."
1105,Campanula,libanotica,,,A. DC.
1110,Campanula,peregrina,,,L.
1112,Campanula,pestalozzae,,,Boiss.
1114,Campanula,phrygia,,,Jaub. et Spach
1118,Campanula,propinqua,,,Fisch et Mey.
1126,Campanula,rapunculus,,,L. 
1134,Campanula,retrorsa,,,Labili. 
1136,Campanula,reuteriana,,,Boiss. et Bal. 
1152,Campanula,sidoniensis,,,Boiss. et Bl.  
1163,Campanula,stellaris,,,Boiss. 
1165,Campanula,stricta,,,L. 
1168,Campanula,stricta,var.,libanotica,(A. DC.) Boiss. 
1172,Campanula,strigosa,,,Banks et Sol.  
1177,Campanula,sulphurea,,,Boiss. 
1179,Campanula,trachelium,,,L. 
1182,Campanula,trachelium,subsp.,athoa,(Boiss. et Heldr.) Hayek 
1190,Campanula,trichopoda,,,Boiss. 
1202,Cardopatium,,,,Juss. 
1204,Cardopatium,corymbosum,,,(L.) Pers. 
1207,Carduncellus,,,,Adans. 
1209,Carduncellus,caeruleus,,,(L.) C. Presl  
1214,Carduus,,,,L. 
1218,Carduus,acicularis,,,Bertol. 
1224,Carduus,argentatus,,,L. 
1231,Carduus,getulus,,,Pomel  
1242,Carduus,nutans,,,L. s.l.  
1249,Carduus,pycnocephalus,,,L. 
1252,Carduus,pycnocephalus,var.,arabicus,(Jacq. ex Murray) Boiss. 
1272,Carlina,,,,L. 
1280,Carlina,curetum,,,Heldr. ex Hal.
1285,Carlina,curetum,subsp.,orientalis,Meusel et Kâstner
1289,Carlina,hispanica,,,Lam.
1292,Carlina,hispanica,subsp.,galilaea,Meusel et Kàstner
1296,Carlina,involucrata,,,Poiret
1299,Carlina,involucrata,subsp.,libanotica,(Boiss.) Meusel et Kastner
1304,Carlina,kurdica,,,Meusel et Kâstner
1308,Carlina,lanata,,,L.
1312,Carlina,oligocephala,,,Boiss. et Kotschy
1317,Carlina,oligocephala,subsp.,oligocephala,
1318,Carthamus,,subsp.,oligocephala,L.
1327,Carthamus,dentatus,,,Vahl
1335,Carthamus,glaucus,,,M. Bieb.
1344,Carthamus,nitidus,,,Boiss.
1346,Carthamus,oxyacanthus,,,M. Bieb.
1349,Carthamus,persicus,,,Willd.
1351,Carthamus,tenuis,,,(Boiss. et Bl.) Bornm.
1357,Carthamus,tenuis,subsp.,foliosus,(Boiss.) Hanelt
1361,Carthamus,tenuis,subsp.,tenuis,
1362,Carthamus,tinctorius,,,L.
1367,Catananche,,var.,oxyacantha,L.
1369,Catananche,lutea,,,L.
1371,Celsia,,,,L.
1404,Centaurea,,,,L.
1406,Centaurea,ainetensis,,,Boiss.
1410,Centaurea,ammocyanus,,,Boiss.
1414,Centaurea,arifolia,,,Boiss.
1418,Centaurea,babylonica,,,(L.) L.
1421,Centaurea,balsamita,,,Lam.
1423,Centaurea,balsamitoides,,,Post
1425,Centaurea,behen,,,L.
1427,Centaurea,blancheana,,,Mouterde NOUVELLE
1430,Centaurea,bruguieriana,,,(DC.) Hand.-Mazz.
1434,Centaurea,bruguieriana,subsp.,bruguieriana ,
1435,Centaurea,calcitrapa,,,L 
1437,Centaurea,carduiformis,,,DC.
1440,Centaurea,carduiformis,var.,thrinciifolia,(DC.) Wagenitz  
1444,Centaurea,cassia,,,Boiss. 
1456,Centaurea,cheirolopha,,,(Fenzl) Wagenitz 
1463,Centaurea,crocodylium,,,L. 
1466,Centaurea,crocodylium,var.,crocodylioides,(Boiss.) Boiss. 
1471,Centaurea,cyanoides,,,Berg et Wahlenb. 
1475,Centaurea,cyanus,,,L. 
1477,Centaurea,damascena,,,Boiss. 
1479,Centaurea,delbesiana,,,Arènes 
1484,Centaurea,drabifolia,,,Sibth. et Sm.
1489,Centaurea,drabifolia,subsp.,libanotica,(Boiss.) Wagenitz 
1492,Centaurea,dumulosa,,,Boiss.  • 
1495,Centaurea,eryngioides,,,Lam. 
1514,Centaurea,handelii,,,Wagenitz 
1518,Centaurea,heterocarpa,,,Boiss. et Gaill. ex Boiss. 
1524,Centaurea,hololeuca,,,Boiss. 
1526,Centaurea,hyalolepis,,,Boiss. 
1528,Centaurea,iberica,,,Trev. ex Sprengel 
1533,Centaurea,iberica,var.,hermonis,(Boiss.) Boiss. 
1537,Centaurea,iberica,var.,meryonis,(DC.) Boiss. 
