,closest_genus,closest_epithet,closest_infra_type,closest_infra_name,authors
376,Anthémis,cota,,,L.
378,Anthémis,cotula,,,L.
380,Anthémis,eretica,,,L.
383,Anthémis,eretica,subsp.,cassia,(Boiss.) Grierson
387,Anthémis,eretica,var.,discoidea,Post
389,Anthémis,deltawensis,,,Eig
391,Anthémis,deserti-syriaci,,,Eig
393,Anthémis,didymaea,,,Mouterde
395,Anthémis,discoidea,,,(All.) Willd.
398,Anthémis,emasensis,,,Eig
400,Anthémis,halophila,,,Boiss. et Bal.
404,Anthémis,haussknechtii,,,Boiss. et Reut.
408,Anthémis,hebronica,,,Boiss. et Ky.
412,Anthémis,hermonis,,,Eig
414,Anthémis,hyalina,,,DC.
416,Anthémis,leucanthemifolia,,,Boiss. et Bl.
420,Anthémis,leucolepis,,,Eig
422,Anthémis,libanotica,,,DC.
424,Anthémis,lyonnetioides,,,Boiss.
426,Anthémis,melanolepis,,,Boiss.
428,Anthémis,melanolepis,,,sensu Eig non Boiss.
433,Anthémis,membranacea,,,Labili.
435,Anthémis,mixta,,,L.
437,Anthémis,palestina,,,Reut. in Boiss.
441,Anthémis,palestina,,,Reuter p.p. in Boiss.
446,Anthémis,patentissima,,,Eig
448,Anthémis,pauciloba,,,Boiss.
450,Anthémis,philistea,,,Boiss.
452,Anthémis,pseudocotula,,,Boiss.
454,Anthémis,rascheyana,,,Boiss.
456,Anthémis,rotata,,,Boiss.
458,Anthémis,samuelssonii,,,Rech. fii.
461,Anthémis,scariosa,,,Banks et Sol.
465,Anthémis,secundiramea,,,Biv.
468,Anthémis,secundiramea,var.,urvilleana,DC.
470,Anthémis,syriaca,,,Bornm.
472,Anthémis,tinctoria,,,L.
475,Anthémis,tinctoria,var.,discoidea,(AH.) Vahl
478,Anthémis,tomentosa,,,Gouan
480,Anthémis,tricomis,,,Eig
482,Anthémis,tripolitana,,,Boiss. et Bl.
486,Anthémis,tubicina,,,Boiss.
488,Anthémis,wettsteiniana,,,Hand.-Mazz.
490,Antirrhinum,,,,L.
492,Antirrhinum,aegyptiacum,,,L.
494,Antirrhinum,albifrons,,,Sibth. et Sm.
498,Antirrhinum,arvense,,,L.
500,Antirrhinum,ascalonica,,,Boiss. et Ky
504,Antirrhinum,chalepense,,,L.
506,Antirrhinum,cymbalaria,,,L.
508,Antirrhinum,clatine,,,L.
510,Antirrhinum,genistifolium,,,L.
512,Antirrhinum,majus,,,L.
515,Antirrhinum,majus,var.,angustifolium,Chav.
517,Antirrhinum,micranthum,,,Cav.
519,Antirrhinum,minus,,,L.
521,Antirrhinum,orontium,,,L.
523,Antirrhinum,parvtflorum,,,Jacq.
525,Antirrhinum,pelisserianum,,,L.
527,Antirrhinum,spurium,,,L.
529,Antirrhinum,tortuosum,,,Bosc ex Chav.
533,Anvillea,,,,DC.
535,Anvillea,garcini,,,(Burm.) DC.
538,Apargia,,,,Scop.
540,Apargia,tuberosa,,,Willd.
542,Apocynum,,,,L.
544,Apocynum,venetum,,,L.
546,Arbutus,,,,L.
548,Arbutus,andrachne,,,L.
550,Arbutus,unedo,,,L.
552,Arctium,,,,L. 
554,Arctium,minus,,,(Hill.) Bernh. 
558,Arctium,minus,subsp.,minus ,
560,Arctium,minus,subsp.,pubens,(Babington) Arènes 
563,Armeria,,,,Willd. 
565,Armeria,majellensis,,,
567,Armeria,majellensis,var.,leucantha,Boiss.
569,Armeria,undulata,,,(Bory et Chaub.) Boiss.
574,Arnebia,,,,Forssk. 
576,Arnebia,comuta,,,(Ledeb.) Fisch. et Mey 
581,Arnebia,decumbens,,,(Vent.) Coss. et Kralik 
586,Arnebia,linearifolia,,,DC.
588,Arnebia,tubata,,,(Bertol.) Sam. 
591,Artemisia,,,,L. 
593,Artemisia,annua,,,L.
595,Artemisia,arborescens,,,L. 
597,Artemisia,deliliana,,,Besser 
599,Artemisia,herba-alba,,,Asso 
601,Artemisia,monosperma,,,Del. 
603,Artemisia,scoparia,,,Waldst. et Kit. 
607,Artemisia,verlotorum,,,Lamotte 
609,Arthrolepis,,,,Boiss.
611,Arthrolepis,membranacea,,,(Labili.) Boiss. 
614,Asclepias,,,,L.
616,Asclepias,canescens,,,Willd. 
618,Asclepias,fruticosa,,,L. 
620,Asclepias,procera,,,Willd. 
622,Asperugo,,,,L. 
624,Asperugo,procumbens,,,L. 
626,Asperula,,,,L. 
628,Asperula,aparine,,,M.Bieb. 
630,Asperula,arvensis,,,L. 
633,Asperula,arvensis,subsp.,setosa,(Jaub. et Spach.) Bornm.
639,Asperula,arvensis,var.,orientalis,Bornm. 
641,Asperula,azurea,,,Jaub. et Spach. 
645,Asperula,bargyli,,,Gombault 
647,Asperula,breviflora,,,Boiss. 
649,Asperula,calabrica,,,L.f. 
651,Asperula,dissitiflora,,,Post 
653,Asperula,ghautensis,,,Post 
655,Asperula,glareosa,,,Ehrendorfer
657,Asperula,glomerata,,,(Bieb.) Griseb.
661,Asperula,glomerata,var.,capitata,(Labili.) Boiss.
664,Asperula,humifusa,,,M. Bieb.
667,Asperula,libanotica,,,Boiss.
669,Asperula,orientalis,,,Boiss. et Hoh.
673,Asperula,pseudolibanotica,,,Ehrendorfer
675,Asperula,rivalis,,,Sibth. et Sm.
679,Asperula,setosa,,,Jaub. et Spach.
683,Asperula,stricta,,,Boiss.
686,Asperula,stricta,var.,alpina,Boiss.
688,Aster,,,,L.
690,Aster,crispus,,,Forssk.
692,Asteriscus,,,,Miller
694,Asteriscus,aquaticus,,,(L.) Less.
698,Asteriscus,aquaticus,var.,pygmaeus,DC.
700,Asteriscus,graveolens,,,(Forssk.) Less.
703,Asteriscus,lanuginosus,,,DC.
705,Asteriscus,pygmaeus,,,(DC.) Coss. et Dur.
710,Asterolinon,,,,Hoffmans. et Link
714,Asterolinon,linum-stellatum,,,(L.) Duby
717,Asyneuma,,,,Griseb. et Schrenk
721,Asyneuma,lanceolatum,,,(Willd.) Hand.-Mazz.
725,Asyneuma,lanceolatum,(3,alpinum,Bornm.
727,Asyneuma,rigidum,,,(Willd.) Grossh.
731,Asyneuma,rigidum,subsp.,sinaï,(A. DC.) Damboldt
735,Asyneuma,virgatum,,,(Labili.) Bornm.
738,Atractylis,,,,L.
740,Atractylis,cancellata,,,L.
742,Atractylis,carduus,,,(Forssk.) Christ
745,Atractylis,comosa,,,Sieb. ex Cass.
749,Atractylis,flava,,,Desf.
751,Atractylis,speciosa,,,DC.
753,Atropa,,,,L.
755,Atropa,belladonna,,,L.
757,Atropa,mandragora,,,L.
759,Autrania,,,,Winkler et Barbey
763,Autrania,pulchella,,,Winkler et Barbey B
768,Baceharis,,,,L.
770,Baceharis,dioscoridis,,,L. 
772,BallotaL. ,,,,
773,BallotaL. ,antilibanotica,,,Post 
775,BallotaL. ,aucheri,,,Boiss. 
777,BallotaL. ,damascena,,,Boiss. 
779,BallotaL. ,foetida,,,Lam. 
781,BallotaL. ,nigra,,,L. 
784,BallotaL. ,nigra,subsp.,uncinata,(Beg.) Patzak 
788,BallotaL. ,nigra,var.,meridionalis,
790,BallotaL. ,nigra,f.,uncinata,Beg. 
792,BallotaL. ,saxatilis,,,Sieb. ex J. et C. Presl
799,BallotaL. ,semaanica,,,Rech.  fil. 
802,BallotaL. ,undulata,,,(Fresen.) Benth.
805,Barkhausia,,,,Moench
807,Barkhausia,aculeata,,,DC
809,Barkhausia,foetida,,,(L.) DC.
812,Barkhausia,kotschyana,,,Boiss.
814,Bartsia,,,,L.
816,Bartsia,latifolia,,,(L.) Sibth. et Sm.
821,Bartsia,trixago,,,L.
823,Bartsia,viscosa,,,L.
825,Bellardia,,,,Ail.
827,Bellardia,trixago,,,(L.) AH.
830,Bellis,,,,L.
832,Bellis,annua,,,L.
834,Bellis,perennis,,,L.
836,Bellis,sylvestris,,,Cyrillo
838,Bidens,,,,L.
840,Bidens,frondosa,,,L.
842,Bidens,pilosa,,,L.
845,Bidens,pilosa,var.,radiata,Schultz Bip.
848,Bidens,tripartita,,,L.
850,Blackstonia,,,,Huds.
852,Blackstonia,acuminata,,,(Koch et Ziz) Domin
857,Blackstonia,perfoliata,,,(L.) Huds.
860,Blackstonia,serotina,,,(Reichenb.) Beck
863,Bombycilaena,,,,(DC.) Smolj.
866,Bombycilaena,discolor,,,(Pers.) Lainz
869,Bombycilaena,erecta,,,(L.) Smolj.
872,Borago,,,,L.
874,Borago,macranthera,,,Banks et Sol.
878,Borago,officinalis,,,L.
880,Brunnera,,,,Stev.
882,Brunnera,orientalis,,,(Schenk) Johnst.
885,Bryonia,,,,L.
887,Bryonia,lasiocarpa,,,Mout.
889,Bryonia,multiflora,,,Boiss. et Heldr.
893,Bryonia,syriaca,,,Boiss.
895,Buglossoides,,,,Moench
897,Buglossoides,arvensis,,,(L.) Johnst.
900,Buglossoides,incrassata,,,(Guss.) Johnst.
903,Buglossoides,purpureocaerulea,,,(L.) Johnst.
906,Buglossoides,tenuiflora,,,(L. fil.) Johnst.
910,Buglossum,,,,Miller
912,Buglossum,barrelieri,,,AII.
914,Bungea,,,,CA. Meyer
917,Bungea,trifida,,,(Vahl) CA. Meyer
921,Buphthalmum,,,,L.
923,Buphthalmum,aquaticum,,,L.
925,Buphthalmum,graveolens,,,Forrsk.
927,Buphthalmum,spinosum,,,L. C
930,Caccinia,,,,Savi
932,Caccinia,macranthera,,,(Banks et Sol.) Brand
937,Caccinia,russellii,,,Boiss.
939,Calamintha,,,,Moench
941,Calamintha,betulifolia,,,Boiss. et Bal.
945,Calamintha,clinopodium,,,Bentham
947,Calamintha,graveolens,,,(Bieb.) Benth.
950,Calamintha,incana,,,(Sibth. et Smith) Boiss.
955,Calamintha,menthifolia,,,Host
957,Calamintha,nepeta,,,(L.) Savi
960,Calamintha,officinalis,,,Moench
962,Calamintha,origanifolia,,,(Labili.) Boiss.
965,Calamintha,purpurascens,,,Pers.
967,Calamintha,rotundifolia,,,(Pers.) Benth.
970,Calamintha,rotundifolia,,,Host
972,Calamintha,vulgaris,,,(L.) Halàcsy
975,Calendula,,,,L.
977,Calendula,aegyptiaca,,,Pers.
979,Calendula,arvensis,,,L.
981,Calendula,bicolor,,,Rafin.
983,Calendula,micrantha,,,Boiss.
985,Calendula,no'iana,,,Boiss.
988,Calendula,no'iana,subsp.,sinuata,(Boiss. et Gaill.) Lanza
993,Calendula,officinalis,,,L. 
995,Calendula,palaestina,,,Boiss. 
997,Calendula,persica,,,CA. Meyer 
1000,Calendula,sinuata,,,Boiss. et Gaill. 
1004,Calendula,tripterocarpa,,,Rupr. 
1006,Calhpeltis,,,,Stev.
1008,Calhpeltis,aperta,,,Boiss.
1010,Calhpeltis,cucullaris,,,(L.) Rothm.
1014,Calhpeltis,cucullaris,fa,aperta,Boiss.
1016,Calhpeltis,factorovskyi,,,(Eig) Ehrendorfer
1019,Calotropis,,,,R. Br.
1022,Calotropis,procera,,,(Willd.) R. Br.
1026,Calystegia,,,,R. Br.
1029,Calystegia,sepium,,,(L.) R. Br.
1033,Calystegia,silvatica,,,(Kit.) Griseb.
1036,Calystegia,sylvestris,,,(Willd.) Roem. et Schult.
1041,Campanula,,,,L.
1043,Campanula,athoa,,,Boiss. et Heldr.
1047,Campanula,camptoclada,,,Boiss.
1049,Campanula,cecilii,,,Rech. fil. et Schiman-Czeika
1054,Campanula,cymbalaria,,,Sm. in Sibth. et Sm.
1060,Campanula,damascena,,,Labili.
1062,Campanula,erinus,,,L.
1064,Campanula,euclasta,,,Boiss.
1066,Campanula,fastigiata,,,Léon Dufour in A. DC.
1072,Campanula,flaccidula,,,Vatke
1074,Campanula,hierosolymitana,,,Boiss.
1076,Campanula,hispidissima,,,Hochst.
1078,Campanula,kotschyana,,,"A., DC."
1081,Campanula,libanotica,,,A. DC.
1084,Campanula,pentagonia,,,L.
1086,Campanula,peregrina,,,L.
1088,Campanula,pestalozzae,,,Boiss.
1090,Campanula,phrygia,,,Jaub. et Spach
1094,Campanula,propinqua,,,Fisch et Mey.
1099,Campanula,propinqua,var.,grandiflora,Milne-Redhead KÔtiVELLE
1102,Campanula,rapunculus,,,L. 
1105,Campanula,rapunculus,var.,lambertiana,Boiss. 
1108,Campanula,rapunculus,var.,spiciformis,Boiss. 
1110,Campanula,retrorsa,,,Labili. 
1112,Campanula,reuteriana,,,Boiss. et Bal. 
1116,Campanula,reuteriana,,,Boiss. et Bal. p.p. 
1121,Campanula,rigida,,,(Willd.) Boiss. 
1124,Campanula,russeliana,,,Roemer et Schultes 
1128,Campanula,sidoniensis,,,Boiss. et Bl.
1132,Campanula,singarensis,,,Boiss. et Haussk. 
1136,Campanula,speculum-veneris,,,L. 
1138,Campanula,stellaris,,,Boiss. 
